places,address,link,user,star,creat_date,comment,data_llm,scraped_date
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Sophia Y Binh,5.0,2024-06-25,"The Coffee has many beautiful scenes to take photos, very beautiful views. Drinks are reasonably priced. Highly recommended ❤️","{
    ""danh_sach_tu_tot"": ""beautiful scenes, very beautiful views, reasonably priced, highly recommended"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Lee Chang,2.0,2024-12-25,The space is ok but it smells animal dung all over the place.,"{
    ""danh_sach_tu_tot"": ""ok"",
    ""danh_sach_tu_xau"": ""smells animal dung""
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",bropaul,5.0,2024-06-25,"This is more like a relaxing mini-park, but is beautiful.","{
    ""danh_sach_tu_tot"": ""relaxing, beautiful"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",loi huuloi,5.0,2024-11-25,Ok,"{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",KHOA TRAN ANH,4.0,2024-04-25,Ok,"{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Văn Thành,5.0,2024-04-25,Chill,"{
    ""danh_sach_tu_tot"": ""chill"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",trần thắng,5.0,2024-06-25,Ok,"{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Viet Dao,1.0,2024-04-25,Ok,"{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Minh Truyền,5.0,2025-02-25,"-The shop has quite spacious parking lot. -In terms of water, it's about 8.5/10, the price is a bit high (recommend cocoa, rose lychee tea). -Snacks are also normal, about 6.5/10 -The restaurant space is quite large, with many shooting angles. The noon sun will be quite hot. Those who are used to being in the cold are susceptible to heat stroke, so be careful to regulate your body temperature before entering the restaurant. The evening will be cool and very chill.(9/10) -There is a changing room and you can rent photo gear and take photos comfortably at no extra charge.","{
    ""danh_sach_tu_tot"": ""spacious, recommend, large, many shooting angles, cool, very chill, comfortably, no extra charge"",
    ""danh_sach_tu_xau"": ""a bit high, normal, hot, susceptible to heat stroke""
}",2025-04-25
Tiệm_cà_phê_Ông_Quan,"701 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+%C3%94ng+Quan/@10.0105985,105.7563492,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ea189dc01d:0xb360acae1cbdb4cb!8m2!3d10.0105985!4d105.7563492!16s%2Fg%2F11k48fl9wy?entry=ttu&g_ep=EgoyMDI1MDQyMi4wIKXMDSoASAFQAw%3D%3D",Phi Phi Trần,4.0,2025-04-25,It feels a bit annoying to have to ask for iced tea. The rest is Ok good. Water prices are also reasonable and suitable for photography. It's like being on a movie set.,"{
    ""danh_sach_tu_tot"": ""good, reasonable, suitable"",
    ""danh_sach_tu_xau"": ""annoying""
}",2025-04-25
