place: Bách hoá XANH - 2025-03-31
address: 148 Đ. Nguyễn Tri Phương, P, Ninh Kiều, Cần Thơ 700000
average stars: 4.3⭐
reviews:
		- Binh Tri Tran (4.0⭐, 2021-03-31): Nice mini market, all staffs here offer well service .
		- Huy Châu Ngọc (5.0⭐, 2023-03-31): Ok
		- Ngọc Nữ Phạm (4.0⭐, 2020-03-31): Good
		- Hien Nguyen Nguyen (5.0⭐, 2022-03-31): Ok
		- Quốc Thượng Trần (3.0⭐, 2021-03-31): Ok
		- Quang Trường Tạ (5.0⭐, 2025-03-03): Many vegetables, many promotions. The staff is quite agile.
		- Dang Vo (1.0⭐, 2024-12-31): The attitude of some female staff members is really bad. It's been so many times that I'm so frustrated that I share it here. Speaking bluntly, having a bored attitude... poor respect for customers
		- Men Nguyen (5.0⭐, 2024-11-30): I don't want to compare each place with its own strengths. I can buy many dishes from Vin and BHX, but pork is Vin+
		- Night Fury (2.0⭐, 2024-06-30): The food is not fresh, the butter is much more expensive than the market, but it is also bitter and unpleasant to eat. Food is not pre-processed into soup portions like other branches
		- thanh nguyen (5.0⭐, 2024-06-30): Many types of goods make it easy to buy what you like
		- Nguyen Simple (5.0⭐, 2021-03-31): Enthusiastic, thoughtful staff... soft-spoken, professional... Prices are a bit higher than the market but convenient and clean...
		- Thien Nguyen Hieu (2.0⭐, 2020-03-31): Service attitude is too bad. After buying the food, I went out and paid for it, popping a piece of meat and looking for something, I don't know....
		- Ngân Nguyễn (5.0⭐, 2023-03-31): Attentive and thoughtful staff. The product lacks seafood.
		- trinh phan (5.0⭐, 2023-03-31): The security guard was enthusiastic and the staff paid quickly.
		- Hung Vu JSC (Hung Vu group) (5.0⭐, 2024-03-31): Enthusiastic staff
		- thien chan (5.0⭐, 2021-03-31): Diversity of goods. Enthusiastic service and advice
		- Le Binh (5.0⭐, 2024-03-31): Attentive and thoughtful staff
		- Chien do anh (5.0⭐, 2021-03-31): Cheaper than the market, fresh and delicious, food safety!
		- Nguyễn Lê Phong (4.0⭐, 2025-03-17): ok
		- Jony Chuong (4.0⭐, 2022-03-31): Full of food, drinks, and vegetables
		- Giang Bui (5.0⭐, 2022-03-31): Easy to find location, right in a densely populated area, good service.
		- Trung Nam Hồ (5.0⭐, 2022-03-31): Convenient supermarket, but a bit short on items..
